The SAS System,,,,,,,,,,,
,,,,,,,,,,,
release_id,estimize_actual,anndats,ibes_actvalue,IBES_adj_actual,ticker,etick,y,ibes_right,estimize_right,formatted_date,
42159,-0.14,5/12/2014,-0.16,-0.16,EVEP,EVEP,0.02,0,0,5/12/2014,
41999,0.06,5/11/2015,-1.26,-1.26,EVEP,EVEP,1.32,0,0,5/11/2015,
564,0.6,5/14/2015,0.66,0.66,EXP,EXP,0.06,0,0,5/14/2015,
50324,0.76,4/19/2012,0.73,0.73,EZPW,EZPW,0.03,0,0,4/19/2012,
50282,0.87,1/28/2014,0.84,0.84,FCFS,FCFS,0.03,0,0,1/28/2014,
35716,0.72,1/19/2012,0.67,0.67,FCX,FCX,0.05,0,0,1/19/2012,
113806,1.1,12/13/2011,1.02,1.02,FDS,FDS,0.08,0,0,12/13/2011,
47464,-0.58,9/29/2014,-0.52,-0.52,FGP,FGP,0.06,0,0,9/29/2014,
86448,0.93,7/23/2014,0.9,0.9,FLS,FLS,0.03,0,0,7/23/2014,
86319,1.1,2/18/2014,1.01,1.01,FLS,FLS,0.09,0,0,2/18/2014,
50297,0.4,11/13/2014,0.37,0.37,FLY,FLY,0.03,0,0,11/13/2014,
106498,-0.25,2/6/2013,-0.32,-0.32,FORM,FORM,0.07,0,0,2/6/2013,
13286,1.1,8/6/2013,1.15,1.15,FOSL,FOSL,0.05,0,0,8/6/2013,
13467,3,2/17/2015,2.92,2.92,FOSL,FOSL,0.08,0,0,2/17/2015,
13275,1.21,5/7/2013,1.1,1.1,FOSL,FOSL,0.11,0,0,5/7/2013,
106911,-0.62,4/30/2015,-0.55,-0.55,FSLR,FSLR,0.07,0,0,4/30/2015,
22125,-0.32,2/19/2015,-0.23,-0.23,FUN,FUN,0.09,0,0,2/19/2015,
22032,-1.95,5/8/2013,-1.1,-1.1,FUN,FUN,0.85,0,0,5/8/2013,
30467,2.07,3/13/2014,2.16,2.16,GCO,GCO,0.09,0,0,3/13/2014,
75037,1.79,7/25/2012,1.77,1.77,GD,GD,0.02,0,0,7/25/2012,
5790,0.61,6/4/2014,0.57,0.57,GEF,GEF,0.04,0,0,6/4/2014,
78254,0.48,8/7/2013,0.44,0.44,GEO,GEO,0.04,0,0,8/7/2013,
77996,0.55,5/8/2013,0.38,0.38,GEO,GEO,0.17,0,0,5/8/2013,
78067,0.58,4/29/2014,0.39,0.39,GEO,GEO,0.19,0,0,4/29/2014,
78280,0.81,2/18/2015,0.52,0.52,GEO,GEO,0.29,0,0,2/18/2015,
78325,0.72,4/30/2015,0.41,0.41,GEO,GEO,0.31,0,0,4/30/2015,
78121,0.85,8/6/2014,0.54,0.54,GEO,GEO,0.31,0,0,8/6/2014,
46895,-0.56,3/11/2013,0.44,0.44,GIFI,GIFI,1,0,0,3/11/2013,
81754,0.17,2/24/2015,0.15,0.15,GLDD,GLDD,0.02,0,0,2/24/2015,
81679,-0.42,8/8/2013,-0.29,-0.29,GLDD,GLDD,0.13,0,0,8/8/2013,
41252,-0.27,5/27/2015,-0.29,-0.29,GLNG,GLNG,0.02,0,0,5/27/2015,
49431,0.21,4/30/2013,0.3,0.3,GNW,GNW,0.09,0,0,4/30/2013,
49518,-1.7,11/5/2014,-0.64,-0.64,GNW,GNW,1.06,0,0,11/5/2014,
104158,4.51,10/18/2012,9.03,9.03,GOOG,GOOG,4.52,0,0,10/18/2012,
102426,4.78,7/18/2013,9.56,9.56,GOOG,GOOG,4.78,0,0,7/18/2013,
101990,5.04,4/12/2012,10.08,10.08,GOOG,GOOG,5.04,0,0,4/12/2012,
102163,5.06,7/19/2012,10.12,10.12,GOOG,GOOG,5.06,0,0,7/19/2012,
104650,5.33,1/22/2013,10.59,10.59,GOOG,GOOG,5.26,0,0,1/22/2013,
102501,5.37,10/17/2013,10.74,10.74,GOOG,GOOG,5.37,0,0,10/17/2013,
102346,5.79,4/18/2013,11.58,11.58,GOOG,GOOG,5.79,0,0,4/18/2013,
102581,6.01,1/30/2014,12.01,12.01,GOOG,GOOG,6,0,0,1/30/2014,
31563,-0.05,2/27/2013,-0.01,-0.01,GRPN,GRPN,0.04,0,0,2/27/2013,
67476,0.87,4/25/2012,0.85,0.85,GSK,GSK,0.02,0,0,4/25/2012,
67498,1.04,2/5/2014,0.97,0.97,GSK,GSK,0.07,0,0,2/5/2014,
22204,0.99,2/7/2013,1.2,1.2,HAS,HAS,0.21,0,0,2/7/2013,
75190,0.41,2/24/2015,0.44,0.44,HEI,HEI,0.03,0,0,2/24/2015,
75095,0.41,2/25/2014,0.37,0.37,HEI,HEI,0.04,0,0,2/25/2014,
36620,1.66,1/30/2013,1.2,1.2,HES,HES,0.46,0,0,1/30/2013,
35762,0.01,11/5/2014,-0.01,-0.01,HL,HL,0.02,0,0,11/5/2014,
35925,-0.03,11/5/2013,-0.01,-0.01,HL,HL,0.02,0,0,11/5/2013,
47728,0.44,7/21/2014,0.58,0.58,HLX,HLX,0.14,0,0,7/21/2014,
46997,1.08,1/31/2012,1.29,1.29,HP,HP,0.21,0,0,1/31/2012,
19421,3.29,6/11/2014,3.24,3.24,HRB,HRB,0.05,0,0,6/11/2014,
31036,0.77,11/6/2013,0.7,0.7,HSNI,HSNI,0.07,0,0,11/6/2013,
30976,0.67,8/1/2012,0.53,0.53,HSNI,HSNI,0.14,0,0,8/1/2012,
66161,0.08,7/21/2014,0.1,0.1,HSTM,HSTM,0.02,0,0,7/21/2014,
22024,2.08,8/11/2014,1.97,1.97,HTHT,HTHT,0.11,0,0,8/11/2014,
22051,-0.1,5/13/2014,-0.22,-0.22,HTHT,HTHT,0.12,0,0,5/13/2014,
61126,1.46,4/30/2012,1.49,1.49,HUM,HUM,0.03,0,0,4/30/2012,
51324,1.84,2/6/2013,1.76,1.76,ICE,ICE,0.08,0,0,2/6/2013,
55967,0.5,5/7/2014,0.48,0.48,ICFI,ICFI,0.02,0,0,5/7/2014,
15189,3,5/7/2014,0.03,0.03,IEP,IEP,2.97,0,0,5/7/2014,
79711,0.13,5/1/2014,0.2,0.2,IIVI,IIVI,0.07,0,0,5/1/2014,
58262,-0.26,2/12/2014,-0.15,-0.15,INCY,INCY,0.11,0,0,2/12/2014,
40260,0.83,4/30/2014,0.73,0.73,INT,INT,0.1,0,0,4/30/2014,
40267,0.81,2/12/2015,0.7,0.7,INT,INT,0.11,0,0,2/12/2015,
102326,0.56,4/17/2012,0.53,0.53,INTC,INTC,0.03,0,0,4/17/2012,
102296,0.69,10/18/2011,0.65,0.65,INTC,INTC,0.04,0,0,10/18/2011,
4339,0.57,7/25/2013,0.64,0.64,IP,IP,0.07,0,0,7/25/2013,
763,0.91,2/21/2012,0.88,0.88,IPHS,IPHS,0.03,0,0,2/21/2012,
82713,1.15,7/20/2012,1,1,IR,IR,0.15,0,0,7/20/2012,
19666,0.38,10/25/2011,0.5,0.5,IRBT,IRBT,0.12,0,0,10/25/2011,
69491,4.25,1/23/2014,4.28,4.28,ISRG,ISRG,0.03,0,0,1/23/2014,
69751,2.77,7/22/2014,3,3,ISRG,ISRG,0.23,0,0,7/22/2014,
69833,3.35,10/21/2014,3.92,3.92,ISRG,ISRG,0.57,0,0,10/21/2014,
69630,1.13,4/22/2014,2.67,2.67,ISRG,ISRG,1.54,0,0,4/22/2014,
102681,0.3,6/5/2015,0.24,0.24,IXYS,IXYS,0.06,0,0,6/5/2015,
22661,0.3,11/19/2012,0.43,0.43,JACK,JACK,0.13,0,0,11/19/2012,
22655,0.42,8/8/2012,0.26,0.26,JACK,JACK,0.16,0,0,8/8/2012,
21627,-0.43,7/23/2014,-0.25,-0.25,JAKK,JAKK,0.18,0,0,7/23/2014,
21570,-1.26,4/25/2013,-1.47,-1.47,JAKK,JAKK,0.21,0,0,4/25/2013,
21683,-2.14,7/17/2013,-0.94,-0.94,JAKK,JAKK,1.2,0,0,7/17/2013,
102706,-0.22,11/26/2013,-0.37,-0.37,JASO,JASO,0.15,0,0,11/26/2013,
99457,0.91,2/13/2014,0.8,0.8,JCOM,JCOM,0.11,0,0,2/13/2014,
32574,-1.16,5/15/2014,-1.14,-1.14,JCP,JCP,0.02,0,1,5/15/2014,
32343,-1.81,11/20/2013,-1.85,-1.85,JCP,JCP,0.04,0,1,11/20/2013,
32445,-0.68,2/26/2014,-0.76,-0.76,JCP,JCP,0.08,0,1,2/26/2014,
32050,-0.37,8/10/2012,-0.5,-0.5,JCP,JCP,0.13,na,na,8/10/2012,
31972,-0.25,5/15/2012,-0.43,-0.43,JCP,JCP,0.18,na,na,5/15/2012,
32292,-2.16,8/20/2013,-1.17,-1.17,JCP,JCP,0.99,0,1,8/20/2013,
76663,0.5,3/5/2015,0.22,0.22,JOBS,JOBS,0.28,0,0,3/5/2015,
51864,1.3,1/14/2014,1.4,1.4,JPM,JPM,0.1,0,0,1/14/2014,
51428,1.4,10/12/2012,1.51,1.51,JPM,JPM,0.11,0,0,10/12/2012,
51420,0.67,7/13/2012,1.09,1.09,JPM,JPM,0.42,0,0,7/13/2012,
7466,1,4/26/2012,0.95,0.95,K,K,0.05,0,0,4/26/2012,
19932,0.28,9/24/2013,0.3,0.3,KBH,KBH,0.02,0,0,9/24/2013,
19804,-0.31,6/29/2012,-0.37,-0.37,KBH,KBH,0.06,0,0,6/29/2012,
53825,-1.09,11/4/2011,-0.91,-0.91,KKR,KKR,0.18,0,0,11/4/2011,
